idPlanGobierno,idOrganizacionPolitica,idProcesoElectoral,strUbigeo,idTipoEleccion,strCodigoRegistroPG,strTieneArchivo,strFechaRegistro,strUsuario,idEstado,intPorcentaje,strCompleto,idParamPlanGob,strOrganizacionPolitica,strTipoEleccion,strEstado,strDepartamento,strProvincia,strDistrito,strDescripcionUbigeo,strParamPlanGob,strArchivo,strRutaArchivo,strExisteArchivoFisico,strPlanGobiernoExistente,strFechaResumenGenerado,fecha_registro
16544,179,0,000000,3,0000000017900110,1,29/12/2020 08:55:13 p.m.,,1,100,1,25,PARTIDO NACIONALISTA PERUANO,PARLAMENTO ANDINO,,,,,,,,PlanTrabajoParlamentoAndino.pdf,False,False,14/03/2021 01:25:49 p.m.,2021-03-14 14:20:15
16499,2646,0,000000,3,0000000264600110,1,20/12/2020 12:08:38 p.m.,,1,100,1,26,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,PARLAMENTO ANDINO,,,,,,,,FREPAP - PLAN DE TRABAJO PARA EL PARLAMENTO ANDINO.pdf,False,False,14/03/2021 01:25:50 p.m.,2021-03-14 14:20:15
16527,14,0,000000,3,0000000001400110,1,22/12/2020 01:41:18 p.m.,,1,100,1,26,PARTIDO DEMOCRATICO SOMOS PERU,PARLAMENTO ANDINO,,,,,,,,Plan de trabajo Parlamento Andino.pdf,False,False,14/03/2021 01:25:51 p.m.,2021-03-14 14:20:15
16533,1257,0,000000,3,0000000125700110,1,22/12/2020 05:18:41 p.m.,,1,100,1,26,ALIANZA PARA EL PROGRESO,PARLAMENTO ANDINO,,,,,,,,PLAN DE TRABAJO PARLAMENTO ANDINO  2021-2026.pdf,False,False,14/03/2021 01:25:52 p.m.,2021-03-14 14:20:15
16500,15,0,000000,3,0000000001500110,1,20/12/2020 12:12:54 p.m.,,1,100,1,26,PARTIDO POPULAR CRISTIANO - PPC,PARLAMENTO ANDINO,,,,,,,,Plan de trabajo parlamento andino.pdf,False,False,14/03/2021 01:25:54 p.m.,2021-03-14 14:20:15
16520,2160,0,000000,3,0000000216000110,1,21/12/2020 11:07:12 p.m.,,1,100,1,26,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PARLAMENTO ANDINO,,,,,,,,FRENTE AMPLIO-PARLAMENTO ANDINO.pdf,False,False,14/03/2021 01:25:55 p.m.,2021-03-14 14:20:15
16532,2840,0,000000,3,0000000284000110,1,22/12/2020 04:03:35 p.m.,,1,100,1,26,PARTIDO MORADO,PARLAMENTO ANDINO,,,,,,,,Anexo 6 JNE Plan de Trabajo Parlamento Andino.pdf,False,False,14/03/2021 01:25:56 p.m.,2021-03-14 14:20:15
16491,1366,0,000000,3,0000000136600110,1,17/12/2020 08:18:56 p.m.,,1,100,1,26,FUERZA POPULAR,PARLAMENTO ANDINO,,,,,,,,Plan Parlamento Andino.pdf,False,False,14/03/2021 01:25:57 p.m.,2021-03-14 14:20:15
16518,1264,0,000000,3,0000000126400110,1,21/12/2020 09:05:59 p.m.,,1,100,1,26,JUNTOS POR EL PERU,PARLAMENTO ANDINO,,,,,,,,PLAN D ETRABAJO DE PARLAMENTO ANDINO[R].pdf,False,False,14/03/2021 01:25:58 p.m.,2021-03-14 14:20:15
16545,2218,0,000000,3,0000000221800110,1,30/12/2020 08:55:38 a.m.,,1,100,1,25,PERU LIBRE,PARLAMENTO ANDINO,,,,,,,,PLAN DE TRABAJO PARLAMENTO ANDINO 2021 2026 (1).pdf,False,False,14/03/2021 01:25:59 p.m.,2021-03-14 14:20:15
16498,22,0,000000,3,0000000002200110,1,19/12/2020 11:14:31 a.m.,,1,100,1,26,RENOVACION POPULAR,PARLAMENTO ANDINO,,,,,,,,PLAN DE TRABAJO - PARLAMENTO ANDINO.pdf,False,False,14/03/2021 01:26:00 p.m.,2021-03-14 14:20:15
16537,2731,0,000000,3,0000000273100110,1,22/12/2020 09:51:39 p.m.,,1,100,1,26,PODEMOS PERU,PARLAMENTO ANDINO,,,,,,,,Plan_Trabajo_Parlamento_Andino_2021-convertido.pdf,False,False,14/03/2021 01:26:06 p.m.,2021-03-14 14:20:15
16502,2191,0,000000,3,0000000219100110,1,20/12/2020 02:03:04 p.m.,,1,100,1,26,DEMOCRACIA DIRECTA,PARLAMENTO ANDINO,,,,,,,,Plan de Trabajo Parlamento Andino  Democracia Directa 2021-2026.pdf,False,False,14/03/2021 01:26:08 p.m.,2021-03-14 14:20:15
16543,2173,0,000000,3,0000000217300110,1,29/12/2020 07:17:54 p.m.,,1,100,1,25,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PARLAMENTO ANDINO,,,,,,,,PLAN DE TRABAJO 2021-2026.PARLAMENTO ANDINO.AVANZA PAIS.pdf,False,False,14/03/2021 01:26:08 p.m.,2021-03-14 14:20:15
16534,5,0,000000,3,0000000000500110,1,22/12/2020 05:45:36 p.m.,,1,100,1,26,RENACIMIENTO UNIDO NACIONAL,PARLAMENTO ANDINO,,,,,,,,PLAN DE TRABAJO PARLAMENTO ANDINO RUNA.pdf,False,False,14/03/2021 01:26:09 p.m.,2021-03-14 14:20:15
