idOrganizacionPolitica,idExpediente,idJuradoUbicacion,idSolicitudLista,idTipoEleccion,strCarpeta,strCodExpediente,strDistritoElec,strEstadoLista,strJuradoElectoral,strOrganizacionPolitica,strRegion,strTipoOrganizacion,strUbigeo,idPlanGobierno,idProcesoElectoral,fecha_registro
22,90724,1536,22690,1,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004321,,INSCRITO,LIMA CENTRO 1,RENOVACION POPULAR,,PARTIDOS POLITICOS,,16482,110,2021-03-14 14:20:15
47,91033,1536,22509,1,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004622,,INSCRITO,LIMA CENTRO 1,UNION POR EL PERU,,PARTIDOS POLITICOS,,16530,110,2021-03-14 14:20:15
15,91167,1536,22495,1,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004756,,INSCRITO,LIMA CENTRO 1,PARTIDO POPULAR CRISTIANO - PPC,,PARTIDOS POLITICOS,,16497,110,2021-03-14 14:20:15
21,91095,1537,23072,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004684,LIMA,INSCRITO,LIMA CENTRO 2,VICTORIA NACIONAL,LIMA,PARTIDOS POLITICOS,140100,0,110,2021-03-14 14:20:15
2173,90860,1550,23025,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004450,LORETO,INSCRITO,MAYNAS,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,LORETO,PARTIDOS POLITICOS,150000,0,110,2021-03-14 14:20:15
5,91103,1536,23039,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004692,PERUANOS RESIDENTES EN EL EXTRANJERO,INSCRITO,LIMA CENTRO 1,RENACIMIENTO UNIDO NACIONAL,LIMA,PARTIDOS POLITICOS,140101,0,110,2021-03-14 14:20:15
14,90688,1521,22797,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004286,UCAYALI,INSCRITO,CORONEL PORTILLO,PARTIDO DEMOCRATICO SOMOS PERU,UCAYALI,PARTIDOS POLITICOS,250000,0,110,2021-03-14 14:20:15
4,91015,1556,23061,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004604,PUNO,INSCRITO,PUNO,ACCION POPULAR,PUNO,PARTIDOS POLITICOS,200000,0,110,2021-03-14 14:20:15
2173,91100,1554,23158,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004689,PIURA,INSCRITO,PIURA 1,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,PIURA,PARTIDOS POLITICOS,190000,0,110,2021-03-14 14:20:15
21,91016,1556,22840,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004605,PUNO,INSCRITO,PUNO,VICTORIA NACIONAL,PUNO,PARTIDOS POLITICOS,200000,0,110,2021-03-14 14:20:15
5,91102,1564,23055,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004691,TUMBES,INSCRITO,TUMBES,RENACIMIENTO UNIDO NACIONAL,TUMBES,PARTIDOS POLITICOS,230000,0,110,2021-03-14 14:20:15
2191,90758,1549,22943,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004353,MOQUEGUA,IMPROCEDENTE,MARISCAL NIETO,DEMOCRACIA DIRECTA,MOQUEGUA,PARTIDOS POLITICOS,170000,0,110,2021-03-14 14:20:15
4,90731,1562,22927,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004328,MADRE DE DIOS,INSCRITO,TAMBOPATA,ACCION POPULAR,MADRE DE DIOS,PARTIDOS POLITICOS,160000,0,110,2021-03-14 14:20:15
47,90997,1536,22938,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004586,PERUANOS RESIDENTES EN EL EXTRANJERO,INSCRITO,LIMA CENTRO 1,UNION POR EL PERU,LIMA,PARTIDOS POLITICOS,140101,0,110,2021-03-14 14:20:15
14,90674,1532,22757,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004272,ICA,INSCRITO,ICA,PARTIDO DEMOCRATICO SOMOS PERU,ICA,PARTIDOS POLITICOS,100000,0,110,2021-03-14 14:20:15
2646,90595,1505,22552,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004195,APURIMAC,INSCRITO,ABANCAY,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,APURIMAC,PARTIDOS POLITICOS,030000,0,110,2021-03-14 14:20:15
2646,90643,1561,22548,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004241,TACNA,INSCRITO,TACNA,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,TACNA,PARTIDOS POLITICOS,220000,0,110,2021-03-14 14:20:15
2191,90765,1564,22935,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004360,TUMBES,INSCRITO,TUMBES,DEMOCRACIA DIRECTA,TUMBES,PARTIDOS POLITICOS,230000,0,110,2021-03-14 14:20:15
47,90805,1549,22933,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004397,MOQUEGUA,INSCRITO,MARISCAL NIETO,UNION POR EL PERU,MOQUEGUA,PARTIDOS POLITICOS,170000,0,110,2021-03-14 14:20:15
55,90888,1505,23043,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004478,APURIMAC,INSCRITO,ABANCAY,PERU PATRIA SEGURA,APURIMAC,PARTIDOS POLITICOS,030000,0,110,2021-03-14 14:20:15
1264,90759,1531,22644,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004354,LIMA PROVINCIAS,INSCRITO,HUAURA,JUNTOS POR EL PERU,LIMA,PARTIDOS POLITICOS,140000,0,110,2021-03-14 14:20:15
2160,91084,1532,23165,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004673,ICA,INSCRITO,ICA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",ICA,PARTIDOS POLITICOS,100000,0,110,2021-03-14 14:20:15
21,91169,1527,23180,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004758,HUANUCO,INSCRITO,HUANUCO,VICTORIA NACIONAL,HUANUCO,PARTIDOS POLITICOS,090000,0,110,2021-03-14 14:20:15
15,90871,1532,22818,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004461,ICA,INSCRITO,ICA,PARTIDO POPULAR CRISTIANO - PPC,ICA,PARTIDOS POLITICOS,100000,0,110,2021-03-14 14:20:15
1366,90518,1527,22601,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004123,HUANUCO,INSCRITO,HUANUCO,FUERZA POPULAR,HUANUCO,PARTIDOS POLITICOS,090000,0,110,2021-03-14 14:20:15
1366,90546,1562,22620,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004150,MADRE DE DIOS,INSCRITO,TAMBOPATA,FUERZA POPULAR,MADRE DE DIOS,PARTIDOS POLITICOS,160000,0,110,2021-03-14 14:20:15
2173,91066,1537,23149,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004655,LIMA,INSCRITO,LIMA CENTRO 2,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,LIMA,PARTIDOS POLITICOS,140100,0,110,2021-03-14 14:20:15
2218,90766,1561,22916,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004361,TACNA,INSCRITO,TACNA,PARTIDO POLITICO NACIONAL PERU LIBRE,TACNA,PARTIDOS POLITICOS,220000,0,110,2021-03-14 14:20:15
22,90968,1521,22724,2,ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/,EG.2021004558,UCAYALI,INSCRITO,CORONEL PORTILLO,RENOVACION POPULAR,UCAYALI,PARTIDOS POLITICOS,250000,0,110,2021-03-14 14:20:15
